plot_id,tree_id,tree_tag,genus,species,name,dbh_cm,dfc_m,ord,ba,count,
A2-03,A2-03-25-01889,1889,Liriodendron,tulipfera,Liriodendron tulipfera,10,7.4,132,78.53975,1,
A2-03,A2-03-25-01885,1885,Liriodendron,tulipfera,Liriodendron tulipfera,37.2,15.5,164,1086.864476,1,
A2-03,A2-03-25-01884,1884,Liriodendron,tulipfera,Liriodendron tulipfera,85,4.5,309,5674.496938,1,
A2-03,A2-03-25-01890,1890,Liriodendron,tulipfera,Liriodendron tulipfera,75.7,12.9,127,4500.71252,1,
A2-03,A2-03-25-01896,1896,Prunus,serotina,Prunus serotina,76.5,15.2,2,4596.342519,1,
A2-05,A205-8-01989,1989,Quercus,prinus,Quercus prinus,4.774648293,3.3,201,17.90491597,1,
A2-05,A205-8-01988,1988,Quercus,prinus,Quercus prinus,4.774648293,11.2,282,17.90491597,1,
A2-05,A205-8-00784,784,Quercus,prinus,Quercus prinus,71.61972439,7.7,314,4028.606094,1,
A2-05,A205-8-01794,1794,Quercus,prinus,Quercus prinus,5.092958179,14.6,353,20.37181551,1,
A2-05,A205-8-01790,1790,Quercus,prinus,Quercus prinus,4.456338407,14,11,15.59717125,1,
A2-05,A205-8-02000,2000,Quercus,prinus,Quercus prinus,41.3802852,14.2,48,1344.858133,1,
A2-05,A205-8-01997,1997,Quercus,prinus,Quercus prinus,66.8450761,11.3,119,3509.363531,1,
A2-05,A205-8-01998,1998,Quercus,prinus,Quercus prinus,35.01408748,13.9,136,962.8865924,1,
A2-05,A205-8-01994,1994,Quercus,prinus,Quercus prinus,7.957747155,10.3,177,49.73587771,1,
A2-05,A205-8-01993,1993,Quercus,prinus,Quercus prinus,20.6901426,14.2,206,336.2145333,1,
A2-05,A205-8-01996,1996,Pinus,virginiana,Pinus virginiana,35.01408748,14.8,40,962.8865924,1,
A2-05,A205-8-01775,1775,Pinus,virginiana,Pinus virginiana,17.50704374,5.5,173,240.7216481,1,
A2-05,A205-8-01999,1999,Pinus,virginiana,Pinus virginiana,52.52113122,9.3,102,2166.494833,1,
A2-05,A205-8-01990,1990,Pinus,virginiana,Pinus virginiana,9.549296586,1.4,116,71.6196639,1,
A2-06,A2-06-33-01330,1330,Dead,unknown,Dead unknown,33,10.7,240,855.2978775,1,
A2-06,A2-06-33-01320,1320,Dead,unknown,Dead unknown,14,5.6,120,153.93791,1,
A2-06,A2-06-33-01325,1325,Ilex,opaca,Ilex opaca,9,8.8,217,63.6171975,1,
A2-06,A2-06-33-01334,1334,Acer,rubrum,Acer rubrum,10,4.15,340,78.53975,1,
A2-06,A2-06-33-01331,1331,Acer,rubrum,Acer rubrum,36.5,8,308,1046.345819,1,
A2-06,A2-06-33-01329,1329,Acer,rubrum,Acer rubrum,27,10.45,285,572.5547775,1,
A2-06,A2-06-33-01328,1328,Acer,rubrum,Acer rubrum,18,14.7,280,254.46879,1,
A2-06,A2-06-33-01334,1334,Acer,rubrum,Acer rubrum,9,3.92,240,63.6171975,1,
A2-06,A2-06-33-01323,1323,Acer,rubrum,Acer rubrum,21,8.4,172,346.3602975,1,
A2-06,A2-06-33-01322,1322,Acer,rubrum,Acer rubrum,21,9.6,145,346.3602975,1,
A2-06,A2-06-33-01319,1319,Acer,rubrum,Acer rubrum,14,2.85,50,153.93791,1,
A2-06,A2-06-33-01318,1318,Acer,rubrum,Acer rubrum,21,7.7,73,346.3602975,1,
A2-06,A2-06-33-01326,1326,Quercus,prinus,Quercus prinus,11,11.6,234,95.0330975,1,
A2-07,A207--01546,1546,Cornus,florida,Cornus florida,4,13.9,40,12.56636,1,
A2-07,A207--01545,1545,Cornus,florida,Cornus florida,5.2,13.2,26,21.2371484,1,
A2-07,A207--01544,1544,Cornus,florida,Cornus florida,3.7,10.25,45,10.75209178,1,
A2-07,A207--01542,1542,Cornus,florida,Cornus florida,3.2,9.6,103,8.0424704,1,
A2-07,A207--01540,1540,Cornus,florida,Cornus florida,3.6,14.9,114,10.1787516,1,
A2-07,A207--01536,1536,Cornus,florida,Cornus florida,3.2,11.5,136,8.0424704,1,
A2-07,A207--01529,1529,Cornus,florida,Cornus florida,6,4.87,291,28.27431,1,
A2-07,A207--01553,1553,Nyssa,sylvatica,Nyssa sylvatica,28.6,0.81,95,642.4237391,1,
A2-07,A207--01543,1543,Nyssa,sylvatica,Nyssa sylvatica,3.9,14.3,61,11.94589598,1,
A2-07,A207--01558,1558,Carya,tomentosa,Carya tomentosa,33.2,6.6,137,865.6965404,1,
A2-07,A207--01550,1550,Acer,rubrum,Acer rubrum,11.6,14.5,356,105.6830876,1,
A2-07,A207--01535,1535,Acer,rubrum,Acer rubrum,3.5,14.45,159,9.621119375,1,
A2-10,A2-10-92-01798,1798,Prunus,serotina,Prunus serotina,31,14.75,189,754.7669975,1,
A2-10,A2-10-92-01778,1778,Prunus,serotina,Prunus serotina,29,6.35,40,660.5192975,1,dead
A2-10,A2-10-92-01776,1776,Prunus,serotina,Prunus serotina,23,7.4,5,415.4752775,1,dead
A2-10,A2-10-92-01791,1791,,Dead red maple, Dead red maple,10,13.72,130,78.53975,1,
A2-10,A2-10-92-01783,1783,,Dead tree , Dead tree ,15.5,4.8,183,188.6917494,1,
A2-10,A2-10-92-01793,1793,,Dead tulip popular , Dead tulip popular ,29,4.45,155,660.5192975,1,
A2-11,A2-11--01074,1074,Acer,rubrum,Acer rubrum,24,3,179,452.38896,1,
A2-11,A2-11--01071,1071,Acer,rubrum,Acer rubrum,8.5,6.9,62,56.74496938,1,
A2-11,A2-11--01069,1069,Acer,rubrum,Acer rubrum,36,5.1,35,1017.87516,1,
A2-11,A2-11--01068,1068,Acer,rubrum,Acer rubrum,66,11.5,3,3421.19151,1,
A2-11,A2-11--01067,1067,Acer,rubrum,Acer rubrum,21,14.7,12,346.3602975,1,
